"EUNIS habitat code","Total area km^2","Total value euro","Area with the least value constituting 5% of the swept area","Value of the lowest 5% area","Fraction of total area with the least value constituting 5% of the swept area","Fraction of total value from the lowest 5% area","Area with the least value constituting 10% of the swept area","Value of the lowest 10% area","Fraction of total area with the least value constituting 10% of the swept area","Fraction of total value from the lowest 10% area"
"A5.15",130492.46740577,143446828.886004,57207.7561841842,3340150.95425731,0.438398915443103,0.0232849410488655,66063.6999150029,6923735.72076759,0.506264470496798,0.0482669137724181
"A5.27",127607.857364529,107890815.833158,42996.9685621932,4291607.46821756,0.336946089764414,0.0397773196455764,61078.910964812,11526465.3058627,0.478645376752403,0.106834536534483
"A5.37",51546.9949273495,101896014.274099,9747.78439326608,1548253.83080167,0.189104804402364,0.0151944493789215,15383.0595275373,3673123.12066548,0.298427862753556,0.0360477605216708
"Unknown",27943.1470896051,5834791.17459791,21832.7877439935,891076.12159656,0.781328877308716,0.152717740006859,24126.4239299179,1721955.23534857,0.863411120177404,0.295118571311549
"A5.14",16260.9465487225,7532191.33622087,12207.5062296042,515684.843346757,0.750725438585447,0.0684641189167523,12905.8361709804,779063.634268574,0.793670659473035,0.103431206071758
"A5.25 or A5.26",11139.6803875038,3360997.51797124,9049.774755119,341557.749710974,0.812390880197137,0.101623922030488,9554.93997578228,542441.120700166,0.857739149006533,0.161392895353161
"A4.1",10416.6373956217,1027382.54825469,9649.73877039952,212982.230159709,0.926377525098025,0.207305672576902,9914.32075912079,323102.733423608,0.951777467389621,0.314491163951046
"A4.27",7415.06351855689,1322548.15961968,6211.0461408773,237890.356790872,0.837625480258339,0.179872736626303,6747.44791266351,442969.804801609,0.909964951180444,0.334936615789472
"A5.45",6747.01977959928,6796863.70091453,3481.66575517895,169898.159686313,0.516030168713354,0.0249965524045235,3791.52228666482,300766.968170175,0.561955116558144,0.0442508458908344
"A4.33",5007.78953545397,1400630.75856811,3844.8225793135,148682.456379593,0.767768404021985,0.106153927771509,4134.53696382542,268342.997705827,0.825621151718513,0.191587251718047
"A5.35",3413.33526491146,1725405.32197746,2153.78007589176,124106.772857306,0.630989899536759,0.0719290541628032,2466.044902548,250475.908185901,0.722473683701259,0.14516931470852
"A4.12",2493.999704153,136002.200739649,2380.4638571812,38921.9214444387,0.954476399182111,0.286185967820826,2412.49919232297,55788.4453155559,0.96732136267125,0.410202518872122
"A4.2",2140.5085916763,789700.940195792,1614.47603443599,62873.4614432328,0.754248798960267,0.0796167995287488,1715.09411817476,105053.810964826,0.801255423521383,0.133029866899715
"A3.1",1473.67185888102,108825.382874315,1390.74766643112,21363.4938822684,0.943729540636769,0.196309843512718,1421.5509309663,34857.3106994003,0.964631931049903,0.320304967267221
"A5.23 or A5.24",1466.37728927175,141585.084680924,1359.92048044621,20841.3834361047,0.927401488276996,0.147200416506251,1395.53387882069,35050.8341233359,0.951688142629213,0.247560215840012
"A6.3",1451.57205554147,1714293.09265312,427.220048506664,102322.898300982,0.294315426420428,0.0596881004418107,768.895502579872,271309.049425172,0.52969847390253,0.158262930993487
"A6.4",1150.14353902038,997721.246979406,401.968300173153,44431.6981970435,0.349494029689133,0.0445331783116378,639.494936480217,150513.130336713,0.556013153823304,0.150856895944023
"A5.44",848.302424151878,463242.103932001,565.133501029137,12859.6951269189,0.666193429299875,0.0277602036122488,584.174121126705,20120.7604345466,0.688638985926222,0.0434346538532691
"A6",604.840777902695,960274.356781032,67.5498844077797,11634.0620930216,0.111682093661097,0.0121153522541418,117.218250768059,32908.9532423286,0.193800178576777,0.0342703655574473
"A5.13",534.453576001022,685591.134834116,429.574900463512,7988.87285744789,0.803764666854228,0.0116525323207116,445.000089287079,14975.590828729,0.832626273392598,0.0218433262448069
"A4.3",341.820928060013,238691.056370409,154.239056345562,13176.692718153,0.4512276566006,0.0552039649852022,205.013531821548,35067.8015070225,0.599768811655542,0.146917115539524
"A3.2",235.417856208595,29154.6111078897,202.373445677589,2623.64366983628,0.85963507159913,0.0899906934147468,218.884257024273,8753.10680193776,0.929769137096922,0.300230614277308
"A5.35 or A5.36",209.078200212761,81952.566761445,141.094210229496,12515.3271613314,0.674839414563147,0.152714279197162,158.349946689617,19823.5476197173,0.75737186626094,0.241890503288585
"A5.36",131.867455335945,14382.8215893153,115.197407363586,30.7542594444445,0.873584820986421,0.00213826329232166,115.197407363586,30.7542594444445,0.873584820986421,0.00213826329232166
"A5.33",92.9000072942925,590.479212550826,92.9000072942925,590.479212550826,1,1,92.9000072942925,590.479212550826,1,1
"A5.43",89.3216924852829,36.5050418569827,89.3216924852829,36.5050418569827,1,1,89.3216924852829,36.5050418569827,1,1
"A5.33 or A5.34",51.4417512610855,15453.6891433781,17.8980166161308,0,0.347927824721439,0,51.4417512610855,15453.6891433781,1,1
"A5.34",37.365772668766,0,37.365772668766,0,1,NA,37.365772668766,0,1,NA
"A6.2",35.9595471130638,32185.539756207,20.6046013890991,395.595410888325,0.572993906856342,0.012291091399579,20.6046013890991,395.595410888325,0.572993906856342,0.012291091399579
"A3.3",31.9199507777214,0,31.9199507777214,0,1,NA,31.9199507777214,0,1,NA
